nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,pk_localizacao
RUA JULIA LOPES,980,84070295,SAO JOSE,PONTA GROSSA,PR,12419
RUA CORONEL ARTHUR WHITAKER,1340,13690000,SAO BENEDITO,DESCALVADO,SP,12420
AVENIDA WENCESLAU BRAZ,2387,35040570,SANTA RITA,GOVERNADOR VALADARES,MG,12421
RUA VEREADOR SEBASTIAO CLAUDIANO,643,07500000,NOVA SANTA ISABEL,SANTA ISABEL,SP,12422
QC 1 CONJUNTO 3,,71727001,RIACHO FUNDO II,BRASILIA,DF,12424
RUA ROQUE LAZZAZERA,64,13323300,NOSSA SENHORA DO MONTE SERRAT,SALTO,SP,12425
RUA HILDA PIANARO AUGUSTO,62,83709842,CAMPINA DA BARRA,ARAUCARIA,PR,12426
AVENIDA VALE DO SOL,4876,15500269,VALE DO SOL,VOTUPORANGA,SP,12427
RUA VIEIRA MARTINS,63,03053020,BRAS,SAO PAULO,SP,12428
RUA MONSENHOR JOAO CRUZ,310,62700000,CENTRO,CANINDE,CE,12429
RODOVIA MARECHAL RONDON,,16270000,FAZENDA SAO JOAO,GLICERIO,SP,12430
AVENIDA SENADOR SALGADO FILHO,1353,81510000,GUABIROTUBA,CURITIBA,PR,12431
RUA JOSE PEREIRA GURGEL,1076,69926000,CENTRO,BUJARI,AC,12433
AVENIDA ELIAS JOAO TAJRA,1720,64049300,JOQUEI,TERESINA,PI,12434
AVENIDA MEXICO,221,15055340,JARDIM AMERICA,SAO JOSE DO RIO PRETO,SP,12436
RUA DIREITA,440,39150000,MILHO VERDE,SERRO,MG,12437
RUA SANTA IZABEL,83,39390000,JARDIM AMERICA,BOCAIUVA,MG,12438
AVENIDA DOMINGOS DA SILVA CANDEMIL,290,88770000,CENTRO,IMARUI,SC,12440
RUA GENERINO HONORATO DA SILVA,17,58301626,POPULAR,SANTA RITA,PB,12441
RUA RUI BARBOSA,140,69010220,CENTRO,MANAUS,AM,12443
RUA URUGUAI,1700A,96300000,CENTRO,JAGUARAO,RS,12444
AVENIDA MONTES CLAROS,SN,39492973,CENTRO,PEDRAS DE MARIA DA CRUZ,MG,12446
AVENIDA MATO GROSSO,1595,79490000,CENTRO,SAO GABRIEL DO OESTE,MS,12447
RUA JAVAES,SN,77690000,CENTRO,ARAGUACEMA,TO,12448
AVENIDA SAO PAULO,287,14801060,CENTRO,ARARAQUARA,SP,12449
RUA SANTOS DUMONT,1405,85851040,CENTRO,FOZ DO IGUACU,PR,12450
RUA BENEDITO MANIGLIA,187,14400902,ESTACAO,FRANCA,SP,12452
AVENIDA NATAL LOZZI,153,38406115,JARDIM CALIFORNIA,UBERLANDIA,MG,12453
RUA BELA VISTA,165,48130000,CENTRO,ARAMARI,BA,12454
QR 829 CONJUNTO 2,,72338662,SAMAMBAIA,BRASILIA,DF,12455
RODOVIA BR 116,,92990970,CENTRO,ELDORADO DO SUL,RS,12457
RUA VISCONDE DE MAUA,54,95660000,SANDER,TRES COROAS,RS,12459
RUA ANGELO GOLIN,541,95250000,APARECIDA,ANTONIO PRADO,RS,12460
RUA ADOLFO MOTA,205,20540100,TIJUCA,RIO DE JANEIRO,RJ,12462
RUA SERRANA,339,29168190,MATA DA SERRA,SERRA,ES,12464
RUA MANOEL IZIDORIO,SN,55260000,CENTRO,ALAGOINHA,PE,12466
LOCALIDADE VARGINHA,SN,36576000,ZONA RURAL,PORTO FIRME,MG,12468
PRACA DA REPUBLICA,386,01045000,REPUBLICA,SAO PAULO,SP,12470
AVENIDA SAO CARLOS,938,13847111,VILA SAO CARLOS,MOGI GUACU,SP,12472
AVENIDA PINTOS,889,14870120,,JABOTICABAL,SP,12474
RUA JACI,40,12211750,SANTANA,SAO JOSE DOS CAMPOS,SP,12476
RUA PROFESSOR HELIO DA SILVA,30,18650000,COHAB II,SAO MANUEL,SP,12477
RUA VOLUNTARIOS DA PATRIA,2041,02011010,SANTANA,SAO PAULO,SP,12478
RUA EDUARDO PEREIRA,113,04312010,VILA GUARANI ZONA SUL,SAO PAULO,SP,12479
RODOVIA BR 364,,76806659,KM 1,PORTO VELHO,RO,12481
RUA IBIATE,52,04530040,ITAIM BIBI,SAO PAULO,SP,12483
RUA HELEN KELLER,111,86039450,JARDIM ROVERI,LONDRINA,PR,12485
RUA CENTENARIO DO SUL,468,84071000,PALMEIRINHA,PONTA GROSSA,PR,12486
AVENIDA CARLOS LACERDA,113,05789000,PIRAJUSSARA,SAO PAULO,SP,12487
RUA PARANA,1206,38400654,BRASIL,UBERLANDIA,MG,12488
AVENIDA INDEPENDENCIA,141,75855000,CENTRO,DOVERLANDIA,GO,12489
RUA ALDO BONADEI,60,05594100,JARDIM BONFIGLIOLI,SAO PAULO,SP,12491
RUA LUIZ GUIMARAES,361,52061160,POCO,RECIFE,PE,12493
AVENIDA WASHINGTON LUIS,3,04662000,SANTO AMARO,SAO PAULO,SP,12495
AVENIDA RAMALHO ORTIGAO,129,04130010,VILA GUMERCINDO,SAO PAULO,SP,12496
RUA C,6,12227788,VILA SAO GERALDO,SAO JOSE DOS CAMPOS,SP,12498
RUA JOSE CONRADO DE ARAUJO,214,49037360,ATALAIA VELHA,ARACAJU,SE,12500
RUA DOS MACONS,658,77804180,CENTRO,ARAGUAINA,TO,12501
RUA WAMBERTO DIAS COSTA,1999,13573284,VILA FARIA,SAO CARLOS,SP,12502
RUA SASSAFRAS,497,88348252,TABULEIRO MONTE ALEGRE,CAMBORIU,SC,12504
AVENIDA PROTASIO ALVES,749,91310000,PETROPOLIS,PORTO ALEGRE,RS,12505
RUA 7 DE SETEMBRO,,89110000,CENTRO,GASPAR,SC,12507
AVENIDA JOAO RIBEIRO,1412,49065330,SANTO ANTONIO,ARACAJU,SE,12508
AVENIDA TUCURUVI,930,02304002,TUCURUVI,SAO PAULO,SP,12509
AVENIDA GETULIO VARGAS,1446,89202002,ANITA GARIBALDI,JOINVILLE,SC,12511
RUA MARECHAL FLORIANO,105,28010166,CENTRO,CAMPOS DOS GOYTACAZES,RJ,12512
RUA PLATINA,1446,30000000,CALAFATE,BELO HORIZONTE,MG,12514
AVENIDA MARTINS JUNIOR,352,07141000,JARDIM BELA VISTA,GUARULHOS,SP,12516
AVENIDA IPEROIG,440,11680000,CENTRO,UBATUBA,SP,12517
AVENIDA GOVERNADOR MILTON CAMPOS,85,39740000,CENTRO,GUANHAES,MG,12519
RUA GENERAL OSORIO,378A,78780000,CENTRO,ALTO ARAGUAIA,MT,12521
AVENIDA CORONEL LUIS OLIVEIRA SAMPAIO,227,21931010,JARDIM GUANABARA,RIO DE JANEIRO,RJ,12523
RUA CIRILO MACIEL,135,35590000,CENTRO,LAGOA DA PRATA,MG,12524
RUA MAJOR DELFINO RICARDO,2810,30670565,SAO FRANCISCO,BELO HORIZONTE,MG,12526
RUA DOS EXPEDICIONARIOS,165,11940000,CENTRO,JACUPIRANGA,SP,12528
AVENIDA ITABERABA,1788,02734000,NOSSA SENHORA DO O,SAO PAULO,SP,12530
RUA TREZE DE MAIO,1263,15670000,CENTRO,POPULINA,SP,12532
RUA JOSE ELIAS ANDRAUS,8,12051100,JARDIM DAS BANDEIRAS,TAUBATE,SP,12534
RUA PRESIDENTE BERNARDES,66,19160000,CENTRO,ALVARES MACHADO,SP,12536
RODOVIA IGUATEMI JUTI,SN,79960000,ZONA RURAL,IGUATEMI,MS,12538
RUA BARAO DE LADARIO,726,03010000,BRAS,SAO PAULO,SP,12540
RUA BENTO GONCALVES,259,99020000,CENTRO,PASSO FUNDO,RS,12542
RUA RAMIRO BARCELOS,334,96700000,CENTRO,SAO JERONIMO,RS,12543
RUA C,12,40301155,BAIRRO GUARANY,SALVADOR,BA,12544
RUA CLEOPATRA,76,33933110,FLAMENGO JUSTINOPOLIS,RIBEIRAO DAS NEVES,MG,12546
RUA DOS CRAVOS,200,29172105,FEU ROSA,SERRA,ES,12547
RUA PREFEITO JOSE EMILIO,11,35470000,CENTRO,MOEDA,MG,12548
QDRA,2,35701189,INDUSTRIAL,SETE LAGOAS,MG,12549
AVENIDA RADIALISTA JOSE LIMA VERDE,1471,60331460,BARRA DO CEARA,FORTALEZA,CE,12550
RUA DIAS DA CRUZ,762,20720013,MEIER,RIO DE JANEIRO,RJ,12551
AVENIDA DOM MALAN,SN,56360000,CENTRO,AFRANIO,PE,12553
RUA PADRE TIAGO ALBERIONE,60,03894200,PONTE RASA,SAO PAULO,SP,12554
RUA PLANALTO ZE GOMES,657,65520000,PLANALTO ZE GOMES,BREJO,MA,12555
RUA ANTONIO CARNEIRO,68,45900000,JUERANA,CARAVELAS,BA,12556
RUA DOS TUPIS,149,30190060,CENTRO,BELO HORIZONTE,MG,12557
RUA BARAO DE AGUA BRANCA,56,57480000,CAMPO GRANDE,DELMIRO GOUVEIA,AL,12558
AVENIDA DOM BOSCO,777,75180000,CENTRO,SILVANIA,GO,12560
RUA CECILIA BRASIL,527A,69301080,CENTRO,BOA VISTA,RR,12561
RUA LUIZ BELTRAO,160,21321230,VILA VALQUEIRE,RIO DE JANEIRO,RJ,12563
RUA ITAJAI,90,89130000,RIO MORTO,INDAIAL,SC,12564
AVENIDA MAESTRO JOAO LUIZ DO ESPIRITO SANTO,13,73807745,CALIFORNIA,FORMOSA,GO,12566
RUA SEVERINO MARTINS DA CUNHA,4,17055450,VILA INDUSTRIAL,BAURU,SP,12567
ESTRADA BAIRRO ENGENHO VELHO,SN,18400970,BAIRRO ENGENHO VELHO,ITAPEVA,SP,12568
RUA AUGUSTO OLESKOWICZ,61,81490172,CAMPO DE SANTANA,CURITIBA,PR,12569
RUA DA VIRACAO,187,65020120,CENTRO,SAO LUIS,MA,12570
NUCLEO CIDADE DE DEUS,SN,06029000,VILA YARA,OSASCO,SP,12571
VILA JUTAIGRANDE,,68720000,ZONA RURAL,SANTAREM NOVO,PA,12572
AVENIDA JERUSALEM,736,77893970,CENTRO,RIACHINHO,TO,12573
AVENIDA GENERAL FLORES DA CUNHA,4402,94950001,VILA BOM PRINCIPIO,CACHOEIRINHA,RS,12574
RUA ALMIZA ROSA,194,58184000,CENTRO,NOVA PALMEIRA,PB,12575
AVENIDA PREFEITO CIRINO ADOLFO CABRAL,7995,88372500,GRAVATA,NAVEGANTES,SC,12576
ESTRADA GERAL PRAIA DA FERRUGEM,,88495000,FERRUGEM,GAROPABA,SC,12578
RUA HENRIQUE DIAS,58,59060170,BOM PASTOR,NATAL,RN,12579
RUA FELICIO BRUGNARA,29,13260000,SANTO ANTONIO,MORUNGABA,SP,12580
RUA EMILIO CONDEIXA,505,14092130,JARDIM ZARA,RIBEIRAO PRETO,SP,12581
SITIO SANTA LUCIA,SN,15910000,TAPUME,MONTE ALTO,SP,12582
SITIO SANTA MARTA,SN,12530000,VAO DO SERTAO,CUNHA,SP,12584
AVENIDA NOSSA SENHORA APARECIDA,1332,80310100,SEMINARIO,CURITIBA,PR,12585
RUA AFONSO PENA,70,36045030,MANOEL HONORIO,JUIZ DE FORA,MG,12587
RUA CAIO CID,1816,61800000,CENTRO,PACATUBA,CE,12588
AVENIDA PAPA JOAO XXIII,89,12604090,JARDIM MARGARIDA,LORENA,SP,12589
RUA 6,891,13550000,CENTRO,ANALANDIA,SP,12590
RUA DOIS,775,65077040,SAO FRANCISCO,SAO LUIS,MA,12592
AVENIDA JANDIRA,257,04080001,INDIANOPOLIS,SAO PAULO,SP,12593
RUA DO IMPERADOR,18,44200000,CENTRO,SANTO AMARO,BA,12594
RUA GERALDO JOSE MARQUES,390,86380000,JARDIM MONTE SANTO,ANDIRA,PR,12595
RUA CELIKANOGUEIRA,83,41310200,AGUAS CLARAS,SALVADOR,BA,12597
RUA NOEL ROSA,568,09380330,JARDIM SONIA MARIA,MAUA,SP,12598
RUA TRAIPU,114,01235000,PACAEMBU,SAO PAULO,SP,12600
RUA ROSALINA CALEGARIO,128,30882580,SERRANO,BELO HORIZONTE,MG,12601
PRACA JOSE DA COSTA CARVALHO,109,36440970,CENTRO,ITAVERAVA,MG,12603
RUA ASFALTITE,96,03358130,VILA FORMOSA,SAO PAULO,SP,12605
RUA DAVID BARCELOS,791,96501360,CENTRO,CACHOEIRA DO SUL,RS,12606
CONDOMINIO CHACARA,19B,71828012,RIACHO FUNDO I,BRASILIA,DF,12607
AVENIDA RENEVILLE,317,18120000,RENEEVILLE,MAIRINQUE,SP,12608
RUA FREI DAMIAO,1043,60333050,BARRA DO CEARA,FORTALEZA,CE,12609
RUA BELA VISTA,SN,99160000,CENTRO,GENTIL,RS,12610
RUA OCTACILIO BANDEIRA DA SILVA LOT PHOENIX,317,93135103,CAMPINA,SAO LEOPOLDO,RS,12611
AVENIDA LINHARES,1,29185000,PRAIA GRANDE,FUNDAO,ES,12612
AVENIDA NELCINA MARIA DE JESUS,95,38181156,DOMINGOS ZEMA,ARAXA,MG,12613
AVENIDA BETA,10,65072120,PARQUE ATHENAS,SAO LUIS,MA,12614
AVENIDA WILLY BARTH,3004,85948000,CENTRO,PATO BRAGADO,PR,12615
AVENIDA RIO D OURO,1520,25550660,COELHO DA ROCHA,SAO JOAO DE MERITI,RJ,12617
EQNN 20 BLOCO A,SN,72220220,CEILANDIA,BRASILIA,DF,12618
AVENIDA AGRICOLA PAES DE BARROS,SN,78025332,SANTA ISABEL,CUIABA,MT,12620
RUA PRESIDENTE JOSE LINHARES,191,85902350,JARDIM PANCERA,TOLEDO,PR,12621
AVENIDA DOUTOR BELMINO CORREIA,557,54753000,CENTRO,CAMARAGIBE,PE,12622
TRAVESSA ANTONIO PEIXOTO,38,29146730,VERA CRUZ,CARIACICA,ES,12624
RUA SANTA RITA DE CASSIA,30,25665303,BAIRRO CASTRIOTO,PETROPOLIS,RJ,12625
RUA CORACAO DE JESUS,46,35534000,CENTRO,CARMOPOLIS DE MINAS,MG,12626
RUA 7 DE SETEMBRO,1887,69153040,PALMARES,PARINTINS,AM,12627
ESTRADA SAO J IVAI UBAUNA,,86930000,RURAL,SAO JOAO DO IVAI,PR,12628
RUA FIORAVANTE B MAGLIO,173,13271260,VILA NOVA VALINHOS,VALINHOS,SP,12629
RUA EXPEDICIONARIO JOAO MEDEIROS MARUJO,54,59625070,ILHA DE SANTA LUZIA,MOSSORO,RN,12630
SHIS BLOCO D,SN,71615485,SETOR DE HABITACOES INDIVIDUAIS SUL,BRASILIA,DF,12632
RUA EVARISTO DA VEIGA,41,20031040,CENTRO,RIO DE JANEIRO,RJ,12633
AVENIDA MACAPA,335,35164253,VENEZA,IPATINGA,MG,12634
RUA DO COMERCIO,,65365970,CENTRO,ZE DOCA,MA,12635
AVENIDA DOS HOLANDESES,30A,65065180,OLHO D AGUA,SAO LUIS,MA,12636
RUA AFONSO SARDINHA,115,05076000,LAPA,SAO PAULO,SP,12637
RODOVIA CASTRO A TIBAGI,SN,84182070,SAMAMBAIA,CASTRO,PR,12639
RUA GERMINIANO DE SOUZA,SN,58900000,CENTRO,CAJAZEIRAS,PB,12640
RUA AMPARO,SN,22753050,ANIL,RIO DE JANEIRO,RJ,12642
RUA MACAPA,247,60526325,DOM LUSTOSA,FORTALEZA,CE,15340
SITIO SAO PEDRO,SN,19430000,AREIA BRANCA,MARABA PAULISTA,SP,12643
RUA LEOPOLDO BIER,220,94045040,COHAB B,GRAVATAI,RS,12644
RUA LUCAS DE OLIVEIRA,2181,90460001,BELA VISTA,PORTO ALEGRE,RS,12646
RUA DAS PERNAMBUCANAS,407,52011010,GRACAS,RECIFE,PE,7519
PRACA NOSSA SENHORA DE FATIMA,57,07052110,JARDIM TRANQUILIDADE,GUARULHOS,SP,12647
RUA CORTEGACA,413,05877200,JARDIM GUARUJA,SAO PAULO,SP,12648
RUA AROEIRA,220,33930490,TONY JUSTINOPOLIS,RIBEIRAO DAS NEVES,MG,12649
ESTRADA PEDRO FERREIRA,SN,68825000,CENTRO,MUANA,PA,12650
RUA 1400,250,88330530,CENTRO,BALNEARIO CAMBORIU,SC,12651
SIA TRECHO 10,,71200070,BRASILIA,BRASILIA,DF,12653
AVENIDA DOM MANUEL,429,60060090,CENTRO,FORTALEZA,CE,12655
RUA VICTORINO BENTO LORENA DA SILVA,505,07260470,JARDIM ANGELICA,GUARULHOS,SP,12656
RUA ABELARDO,45,52050310,GRACAS,RECIFE,PE,12658
RUA TREZE DE MAIO,SN,83511470,FAZENDA RANCHO ALEGRE,ALMIRANTE TAMANDARE,PR,12660
ESTRADA DO TIMBO,109A,21061280,HIGIENOPOLIS,RIO DE JANEIRO,RJ,12662
RUA MARIO DE SANTI,168,13569395,JARDIM NOSSA SENHORA APARECIDA,SAO CARLOS,SP,12664
RUA CURITIBA,778,30170124,CENTRO,BELO HORIZONTE,MG,12665
RUA AMAPA,43,13820000,DOM BOSCO,JAGUARIUNA,SP,12666
RUA LINO ESCULAPIO,465,84500000,CENTRO,IRATI,PR,12667
RUA ALCINO VICENTE,40,37704354,,POCOS DE CALDAS,MG,12669
AVENIDA DOUTOR CICERO DE MORAES,SN,86945970,CENTRO,SAO PEDRO DO IVAI,PR,12670
RUA MARCO AURELIO,306,05048000,LAPA,SAO PAULO,SP,12672
RUA BENTO GONCALVES,484,99010010,CENTRO,PASSO FUNDO,RS,12674
RUA ANGELO DE JESUS PROENCA,131,26020030,ALTO DA POSSE,NOVA IGUACU,RJ,12676
AVENIDA MONTEIRO LOBATO,5306,11730000,VILA N SRA FATIMA,MONGAGUA,SP,12677
RUA GENERAL GLICERIO,956A,16010080,CENTRO,ARACATUBA,SP,12679
RUA PADRE RAFAEL,185,69460000,SANTA HELENA,COARI,AM,12680
RUA BARBOSA DE FREITAS,1455,60170020,MEIRELES,FORTALEZA,CE,12681
RUA JOVIANO DE P ESTRELA,400A,31748135,JAQUELINE,BELO HORIZONTE,MG,12682
RUA DONA CRISTINA,7,35450000,SANTA EFIGENIA,ITABIRITO,MG,12683
AVENIDA PROFESSOR FRANCISCO MORATO,2718,05512000,BUTANTA,SAO PAULO,SP,12685
AVENIDA ANTONIO MAIA,976,68501535,CENTRO,MARABA,PA,12687
RODOVIA BR 282,SN,89613000,ERVAL VELHO,ERVAL VELHO,SC,12688
AVENIDA CORONEL GUSTAVO R SILVA,306,79500000,CENTRO,PARANAIBA,MS,12689
CNF 2,8,71920540,TAGUATINGA,BRASILIA,DF,12690
RUA SANTA CLARA,,44400000,PIRAJUIA,NAZARE,BA,12691
RUA ESTRADA DA PIRELE,SN,67033009,PIRELE,ANANINDEUA,PA,12692
RUA DOUTOR JORGE C DA COSTA,445,94150140,BARNABE,GRAVATAI,RS,12693
RUA DUQUE DE CAXIAS,523,88780000,SEDE,IMBITUBA,SC,12695
RUA DOS TIMBIRAS,135,01208011,SANTA EFIGENIA,SAO PAULO,SP,12697
RUA ANDRE PUENTE,760,94820030,SUMARE,ALVORADA,RS,12698
LOTEAMENTO PIUM RIO DO COCO,SN,77575000,ZONA RURAL,CHAPADA DE AREIA,TO,12700
RUA SAUL SILVEIRA PENHA,203,88047630,CARIANOS,FLORIANOPOLIS,SC,12702
RUA JOVINO DINOA,3555,68902030,BEIROL,MACAPA,AP,12703
RUA JOSE PINTO,1196,78716056,PARQUE RESIDENCIAL BURITI,RONDONOPOLIS,MT,12704
RUA HERMINIO ALVES DE QUEIROZ,500,54400230,PIEDADE,JABOATAO DOS GUARARAPES,PE,12705
RUA CAMPOS SALLES,757,18200005,CENTRO,ITAPETININGA,SP,12706
PRACA HERCILIO LIMA,95,45000195,CENTRO,VITORIA DA CONQUISTA,BA,12707
ESTRADA RURAL,70,15215000,NOVA ITAPIREMA AGROVILA,NOVA ALIANCA,SP,12708
RUA DOM PEDRO II,215,07010003,CENTRO,GUARULHOS,SP,12709
AVENIDA PAULISTA,578,13276340,VILA N SAO SEBASTIAO,VALINHOS,SP,12711
RUA BALTAZAR C DOS REIS,2403,80250130,REBOUCAS,CURITIBA,PR,12713
RUA GUILHERME BRUST,260,95890000,LANGUIRU,TEUTONIA,RS,12714
RUA SANTA CATARINA,1799,89670000,CIDADE JARDIM,CATANDUVAS,SC,12715
TRECHO HUMAITA,615,66070524,PEDREIRA,BELEM,PA,12717
AVENIDA CASTELO BRANCO,1760,69925000,CENTRO,SENADOR GUIOMARD,AC,12719
RUA CLAUDIO MANOEL DA COSTA,413,88511497,BAIRRO VARZEA,LAGES,SC,12721
RUA GENERAL MARQUES,649,97670000,CENTRO,SAO BORJA,RS,12723
AVENIDA PINHEIROS,727,13280000,VILA SANTANA,VINHEDO,SP,12724
SITIO ASSENTAMENTO INDAIA,516,79965000,ZONA RURAL,ITAQUIRAI,MS,12725
RUA RUI ROSADO DE AGUIAR,622,95180000,SAO JOSE,FARROUPILHA,RS,12726
RODOVIA PIRACICABA A ANHEMBI,SN,13400970,SAO SEBASTIAO,PIRACICABA,SP,12727
SCE SUL TRECHO,4,70200004,ASA SUL,BRASILIA,DF,12728
QNM 19 CONJUNTO H,,72215198,CEILANDIA,BRASILIA,DF,12729
AVENIDA MARECHAL FLORIANO PEIXOTO,651,80010130,CENTRO,CURITIBA,PR,12730
SHIN,SN,71503504,LAGO NORTE,BRASILIA,DF,12731
RUA JOSE APARECIDO LOBO COLINO,116,12236873,RESIDENCIAL BOSQUE DOS IPES,SAO JOSE DOS CAMPOS,SP,12732
RUA CESAR LOMBROSO,52,90420130,RIO BRANCO,PORTO ALEGRE,RS,12733
RUA,240,58865000,CICERO DIAS II,SAO BENTO,PB,12734
RUA BITENCOURT,129,11013300,VILA NOVA,SANTOS,SP,12736
RUA MARIO LOBO,61,89201330,CENTRO,JOINVILLE,SC,12738
ESTRADA GERAL NOVA VICENCA,,88940000,NOVA VICENCA,TIMBE DO SUL,SC,12739
RUA ALBERTINA MEDEIROS,1327,08241250,VILA DANUBIO AZUL,SAO PAULO,SP,12740
RUA CAPITAO JOSE PORFIRIO,57,12260000,CENTRO,PARAIBUNA,SP,12742
RUA JOSE ZEFERINO FERREIRA,331,13181713,PARQUE BANDEIRANTES,SUMARE,SP,12744
RUA RUBINO DE OLIVEIRA,468,18017013,VILA CARVALHO,SOROCABA,SP,12746
RUA XAVIER DA CUNHA,183,90830430,NONOAI,PORTO ALEGRE,RS,12747
RUA 5,14,77365000,CENTRO,PALMEIROPOLIS,TO,12749
RUA CARLOS RUECKL,770,89291105,SERRA ALTA,SAO BENTO DO SUL,SC,12750
AVENIDA DOM CLAUDIO JOSE GONCALVES PONCE DE LEAO,34,91370170,VILA IPIRANGA,PORTO ALEGRE,RS,12751
RUA DANILO ORCELLI,76,86075150,PORTAL DE BIANCA,LONDRINA,PR,12752
RUA FICUS,161,35160298,HORTO,IPATINGA,MG,12753
RUA ALFREDO TOSI,1950,14403180,NUCLEO ALPHA,FRANCA,SP,12755
RUA CARLOS DE ANDRADE VL S PEDRO,24,09784095,MONTANHAO,SAO BERNARDO DO CAMPO,SP,12756
RUA ARTHUR DA COSTA E SILVA,591,96740000,CENTRO,ARROIO DOS RATOS,RS,12758
PRACA DA MATRIZ,SN,15680000,ARABA,GUARANI D OESTE,SP,12760
ESTRADA AFONSO LOURENCO MARIANTE,174,91787260,LOMBA DO PINHEIRO,PORTO ALEGRE,RS,12761
RUA POMBAS,80,86701410,CENTRO,ARAPONGAS,PR,12762
RUA SAO BOAVENTURA,SN,98700000,SAO GERALDO,IJUI,RS,12764
AVENIDA ERNESTO VILELA,209,84010050,NOVA RUSSIA,PONTA GROSSA,PR,12765
RUA HUXLEY,365,83408180,VILA GUARANI,COLOMBO,PR,12767
AVENIDA ALACID NUNES,SN,68372618,JARDIM INDEPENDENTE I,ALTAMIRA,PA,12769
RODOVIA SAFRA MARATAIZES,,29330000,GARRAFAO,ITAPEMIRIM,ES,12770
RUA ANITA GARIBALDI,207,88820000,CENTRO,ICARA,SC,12771
PRACA DA CONCEICAO,252B,48760000,CENTRO,ARACI,BA,12772
RUA BOA VISTA,2344,76909744,JK,JI PARANA,RO,12774
AVENIDA PROFESSOR LUIZA G RIBEIRO,665,14270971,COHAB L U A,SANTA ROSA DE VITERBO,SP,12775
RUA MONTE ALEGRE,182,05014000,PERDIZES,SAO PAULO,SP,12776
RUA VEREADOR FLORIANO,220,95670000,CASA GRANDE,GRAMADO,RS,12778
RUA JOAO MOREIRA DA SILVA,845,16400660,REBOUCAS,LINS,SP,12780
RUA CAPITAO RODRIGO,71,63740000,CENTRO,NOVO ORIENTE,CE,12782
RUA CELSO EGIDIO SOUSA SANTOS,431,13070057,JARDIM CHAPADAO,CAMPINAS,SP,12784
RUA NE ARISTARCO,116,64545000,CENTRO,SANTA CRUZ DO PIAUI,PI,12785
RUA BEBERIBE,164,31110730,SAO CRISTOVAO,BELO HORIZONTE,MG,12786
BORGES DE MEDEIROS,708,90020022,CENTRO,PORTO ALEGRE,RS,12788
AVENIDA SAO JOAO,2168,01211000,SANTA CECILIA,SAO PAULO,SP,12789
AVENIDA FORTUNATO ERNESTO VETORASSO,1580,15040300,JARDIM RESIDENCIAL VETORASSO,SAO JOSE DO RIO PRETO,SP,12791
RUA JOSE CATTANI,27,85504540,BAIRRO PARZIANELLO,PATO BRANCO,PR,12793
RUA ALVARES MACHADO,SN,13013070,CENTRO,CAMPINAS,SP,12794
RODOVIA BR 10,SN,65939000,SETOR INDUSTRIAL,ITINGA DO MARANHAO,MA,12796
RUA DOS EXPEDICIONARIOS,15,37490000,CENTRO,SAO GONCALO DO SAPUCAI,MG,12797
RUA PEDRO CARRASCO MONTALBAN,113,18077430,PARQUE DAS LARANJEIRAS,SOROCABA,SP,12798
RUA JULIO PARIGOT,889,03478007,VILA ANTONIETA,SAO PAULO,SP,12799
RUA DOS LIRIOS,27,15086893,CONJUNTO HABITACIONAL SAO BENTO,SAO JOSE DO RIO PRETO,SP,12801
RUA WILFRID RUSSEL SHORTO,90,51020300,BOA VIAGEM,RECIFE,PE,12802
RUA CIRO MELO,2798,79805031,CENTRO,DOURADOS,MS,12804
AVENIDA OSVALDO ARANHA,801,95590000,ZONA NOVA,TRAMANDAI,RS,12805
RUA TEODORO SAMPAIO,574,16920000,CENTRO,CASTILHO,SP,12807
RUA 26,SN,47650000,VILA ROSARIO,CORRENTINA,BA,12808
RUA BENEDITA DE CASTRO,,75259730,DIST INDL SENADOR CANEDO,SENADOR CANEDO,GO,12809
RUA MANOEL PAULINO,530,58411140,CATOLE,CAMPINA GRANDE,PB,12811
AVENIDA SETE DE SETEMBRO,2478,68270970,SETOR CENTRAL,ORIXIMINA,PA,12812
RUA QUINTINO BOCAIUVA,94,37500090,MORRO CHIC,ITAJUBA,MG,12813
QE 7 BLOCO H,110,71020687,GUARA I,BRASILIA,DF,12815
AVENIDA DAS FLORES,1181,95334000,CENTRO,VILA FLORES,RS,12817
RUA OURO PRETO,501,74315220,JARDIM ANA LUCIA,GOIANIA,GO,12818
BR 277,SN,85887000,AGROCAFEEIRA,MATELANDIA,PR,12820
RUA JOAO DE SOUZA PEREIRA,258A,79390000,VLA JARDIM PLANALTO,BODOQUENA,MS,12821
GALERIA CONSTANCA VALADARES,SN,36010300,CENTRO,JUIZ DE FORA,MG,12823
RUA GUARAPUAVA,1650,79800000,VILA PLANALTO,DOURADOS,MS,12824
RUA A CONJUNTO AFRANCO,140,49480000,CENTRO,SIMAO DIAS,SE,12825
RUA MANOEL NOVAIS,43,44700000,SEDE,JACOBINA,BA,12827
RUA ERICO VERISSIMO,149,41815340,ITAIGARA,SALVADOR,BA,12828
FAZENDA SITIO NOVO,SN,45960000,SEDE,MEDEIROS NETO,BA,12830
RUA WEIMAR GONCALVES TORRES,465,79950000,CENTRO,NAVIRAI,MS,12831
RUA VALDOMIRO MELLO,1764,95600000,EMPRESA,TAQUARA,RS,12832
AVENIDA MESSIAS EDUARDO FELIX,SN,87345000,SALLES DE OLIVEIRA,CAMPINA DA LAGOA,PR,12834
