nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,pk_localizacao
RUA LUIZ DE VASCONCELOS,197,09960250,VILA NOGUEIRA,DIADEMA,SP,407
RUA JOAO CORDEIRO,967,03435000,VILA CARRAO,SAO PAULO,SP,409
RUA VILHENA DE MORAES,380,22640000,BARRA DA TIJUCA,RIO DE JANEIRO,RJ,411
VILA CINCO DA BOA VISTA,SN,95186000,QUINTO DISTRITO,CARLOS BARBOSA,RS,413
RUA JOSE GETULIO,547,01509001,LIBERDADE,SAO PAULO,SP,415
RUA FREI H DE COIMBRA,766,81630220,VILA HAUER,CURITIBA,PR,417
AVENIDA SOROCABA,591,18044390,JARDIM DAS MAGNOLIAS,SOROCABA,SP,419
RUA BENJAMIN C MARGARIDA,96,89041490,VELHA,BLUMENAU,SC,421
AVENIDA GETULIO VARGAS,SN,85585000,CENTRO,VERE,PR,423
RUA CIDADE DE SAO SEBASTIAO,230,09770550,NOVA PETROPOLIS,SAO BERNARDO DO CAMPO,SP,425
AVENIDA JOSE BENTO RIB DANTAS,534,28905090,ARMACAO DOS BUZIOS,CABO FRIO,RJ,427
RUA ANTONIO FALABELA,146,31360200,SANTA TEREZINHA,BELO HORIZONTE,MG,429
RUA ANTONIO DE O PORTES,271,12510470,POTIM,GUARATINGUETA,SP,431
RUA ARATANJI,213,02613070,VILA NOVA CACHOEIRINHA,SAO PAULO,SP,433
LOTEAMENTO PRIMAVERA,SN,78655000,ZONA RURAL,PORTO ALEGRE DO NORTE,MT,435
AVENIDA CONTORNO DA MATO GROSSO,45A,75045190,JUNDIAI,ANAPOLIS,GO,437
RUA 1136,491,74180150,MARISTA,GOIANIA,GO,439
AVENIDA JEQUITAIA,2079,40460120,AGUA DE MENINOS,SALVADOR,BA,441
RUA TUIUTI,2420,97050420,CENTRO,SANTA MARIA,RS,443
RUA BECO DOS AMIGOS,23,91770300,SERRARIA,PORTO ALEGRE,RS,445
VILA MORRO AZUL,SN,95560000,QUARTO DISTRITO,TORRES,RS,447
ESTRADA FEDERAL BR,116,95000000,BELA VISTA,CAXIAS DO SUL,RS,449
LOCALIDADE BARREIROS,SN,89610000,SEDE,HERVAL D OESTE,SC,451
ESTRADA RS 30,227,95520972,LARANJEIRAS DISTRITO,OSORIO,RS,453
RUA AGUAS BRANCAS,256,94070130,BOM PRINCIPIO,GRAVATAI,RS,455
RUA BARAO DO CAMBAY,505,97300000,SEDE,SAO GABRIEL,RS,457
ESTRADA GERAL,,88820000,LAGOA DOS ESTEVES,ICARA,SC,459
RUA CHICO CORREA,321,97560000,,QUARAI,RS,461
RUA SENADOR PINHEIRO MACHADO,803,96810136,CENTRO,SANTA CRUZ DO SUL,RS,463
RUA JOSE DUARTE DE PAIVA,534,35700059,CENTRO,SETE LAGOAS,MG,465
AVENIDA JACINTO SA,830,19904565,VILA PERINO,OURINHOS,SP,467
RUA PROFESSOR GILCEU MACHADO,44,29300000,AMARAL,CACHOEIRO DE ITAPEMIRIM,ES,469
RUA JASMIM,156,39401028,SAGRADA FAMILIA,MONTES CLAROS,MG,471
RUA CORONEL ANTONIO A PEREIRA,545,38401730,CENTRO,UBERLANDIA,MG,473
RUA DO ARROZ,90,21011070,PENHA CIRCULAR,RIO DE JANEIRO,RJ,475
AVENIDA PAULINO FERNANDES,SN,25880000,JAMAPARA,SAPUCAIA,RJ,477
RUA VARZEA ALEGRE,SN,29650000,ALTO SANTA MARIA,SANTA TERESA,ES,478
RUA DO PASSEIO,70,20021290,CENTRO,RIO DE JANEIRO,RJ,480
RUA INHAMBU,902,04520912,INDIANOPOLIS,SAO PAULO,SP,482
AVENIDA PEDRO LESSA,905,11025001,PONTA DA PRAIA,SANTOS,SP,484
RUA COM AFONSO KHERLAKIAN,79,08210040,SE,SAO PAULO,SP,486
RUA 31 DE MARCO,64,29700778,SANTO ANTONIO,COLATINA,ES,488
RUA NOVA YORK,90,27211440,SANTO AGOSTINHO,VOLTA REDONDA,RJ,490
RUA PRINC DAS ASTURIAS,121,04331100,VILA CAMPESTRE,SAO PAULO,SP,492
AVENIDA PEDRO BUENO,319,04342010,JABAQUARA,SAO PAULO,SP,494
RUA RODOLFO NOVAES,1,45280000,CENTRO,IGUAI,BA,496
AVENIDA CARMINDO DE CAMPOS,1950,78070100,JARDIM PAULISTA,CUIABA,MT,498
RUA GUILHERME MARCONI,611,18500000,CENTRO,LARANJAL PAULISTA,SP,500
RUA MATO GROSSO D,1085,89802271,JARDIM ITALIA,CHAPECO,SC,502
RUA PIAUI,200,30150320,SANTA EFIGENIA,BELO HORIZONTE,MG,504
RUA IMPERIAL,250,03737010,VILA BUENOS AIRES,SAO PAULO,SP,506
LOCALIDADE CALCADAO S M CARVALHO,35,37564000,CENTRO,BORDA DA MATA,MG,508
AVENIDA BRASIL,1350,86870000,CENTRO,IVAIPORA,PR,510
AVENIDA MANOEL RIBAS,324,84290000,CENTRO,SAPOPEMA,PR,512
AVENIDA SILVIO AVIDOS,1816,29703100,SAO SILVANO,COLATINA,ES,514
RUA JOAO ADOLFO,1514,18200353,CENTRO,ITAPETININGA,SP,516
RUA CARLOS DE LAET,1665,81610050,HAUER,CURITIBA,PR,518
RUA FRANCISCO REBELO,506,03212000,VILA CALIFORNIA,SAO PAULO,SP,520
RUA IVO VARELA,130,89200000,BOA VISTA,JOINVILLE,SC,522
RUA COMENDADOR ARAUJO,143,80420900,,CURITIBA,PR,524
RUA CAPITAO MARTINHO,227,36544000,CENTRO,PAULA CANDIDO,MG,526
RUA CAIENA,99,86030495,JARDIM GUANABARA,LONDRINA,PR,528
RUA PRINCIPAL,SN,84381970,BAIRRO DOS FRANCA,ORTIGUEIRA,PR,530
RUA DO COMERCIO,,89888000,CENTRO,CAIBI,SC,532
SITIO CACHOEIRINHA,SN,35365000,ZONA RURAL,ABRE CAMPO,MG,534
AVENIDA DOUTOR LUIS ARROBAS MARTINS,6,04781000,CAPELA DO SOCORRO,SAO PAULO,SP,536
RUA PARANA,24,17690000,JARDIM BRASILIA,BASTOS,SP,538
RUA BAR DE ITAPETININGA,255,08210040,CENTRO,SAO PAULO,SP,540
RUA ULHOA CINTRA,600,13800002,CENTRO,MOGI MIRIM,SP,542
RUA PINDUCA SOARES,207,18150000,CENTRO,IBIUNA,SP,544
AVENIDA INDIANOPOLIS,2456,04062002,INDIANOPOLIS,SAO PAULO,SP,546
RUA ARTUR AQUILES,66,58013140,CENTRO,JOAO PESSOA,PB,548
RUA CABO JOAO ROMEU TEIXEIRA,310,09380170,CAPUAVA,MAUA,SP,550
RUA VALDER XAVIER DE LIMA,29,40301155,ITAPOA,SALVADOR,BA,552
RUA FREI ORLANDO,235,60425290,BOM FUTURO,FORTALEZA,CE,554
RUA PAULA FRASSINETTI,134,20261170,RIO COMPRIDO,RIO DE JANEIRO,RJ,556
PRACA JOAO MONEYOUR,88,06653230,DOS ABREUS,ITAPEVI,SP,558
AVENIDA PRESIDENTE ROOSEVELT,867,17900970,CENTRO,DRACENA,SP,560
AVENIDA PROGRESSO,SN,89888000,CENTRO,CAIBI,SC,562
RUA JERONIMO COELHO,305,88010030,CENTRO,FLORIANOPOLIS,SC,564
RUA CORONEL JOSE VITORIANO VILLAS BOAS,1112,18607710,VILA PADOVAN,BOTUCATU,SP,566
RUA ANTONIO FABIANO,112,35660326,SANTOS DUMONT,PARA DE MINAS,MG,568
RUA DA LINHA,SN,57770000,CENTRO,CAJUEIRO,AL,570
RUA JOSE DO PATROCINIO,405,18720000,CENTRO,PARANAPANEMA,SP,572
RUA JOAO BIAGIONI PIO,168,18590000,CENTRO,BOFETE,SP,574
RUA JOSE BONIFACIO,147,77600000,CENTRO,PARAISO DO TOCANTINS,TO,576
PRACA SEBASTIAO VAZ,4,75394970,SETOR CENTRAL,SANTA BARBARA DE GOIAS,GO,578
AVENIDA JOAO VELOSO DA SILVA,380,07180000,JARDIM CUMBICA,GUARULHOS,SP,580
RUA 8 DE MAIO,28,89440000,CENTRO,IRINEOPOLIS,SC,582
VIA CHICO MENDES,695,69906116,AREAL,RIO BRANCO,AC,584
