cnae_2digitos,cd_cnpj,nu_ordem,cd_ramo_atividade,de_ramo_atividade,ramo_atividade,divisoes
10,10369152000110,0,1013901,FABRICACAO DE PRODUTOS DE CARNE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15258587000100,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02034424000100,0,1011201,FABRICACAO DE PRODUTOS DE CARNE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15096400000110,0,1091102,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02655126000120,0,1051100,PREPARACAO DO LEITE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14078544000180,1,1091102,FABRICACAO DE CONSERVAS DE FRUTAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,16774603000180,0,1094500,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,07516811000270,0,1099604,COMERCIO VAREJISTA DE BEBIDAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02034424000100,1,1013901,FRIGORIFICO  ABATE DE BOVINOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13727373000100,0,1031700,"COMERCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,02034424000100,2,1013902,PREPARACAO DE SUBPRODUTOS DO ABATE,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14534253000150,0,1032599,COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14641179000170,0,1099601,FABRICACAO DE VINAGRES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10455754000190,2,1094500,FABRICACAO DE CONSERVAS DE FRUTAS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,12357335000140,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,04653611000190,0,1091102,COMERCIO VAREJISTA DE LATICINIOS E FRIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10455754000190,1,1032599,COMERCIO VAREJISTA DE LATICINIOS E FRIOS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,15840805000110,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,12230882000160,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,14135050000190,0,1091102,COMERCIO VAREJISTA DE CARNES  ACOUGUES,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,10455754000190,0,1031700,COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,13621474000100,0,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10,11117576000150,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,Bens de Consumo,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
